Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,203.983002,203.983002,203.983002,203.983002,203.983002,0
2001-01-03,196.602005,196.602005,196.602005,196.602005,196.602005,0
2001-01-04,200.610001,200.610001,200.610001,200.610001,200.610001,0
2001-01-05,201.468994,201.468994,201.468994,201.468994,201.468994,0
2001-01-08,201.718994,201.718994,201.718994,201.718994,201.718994,0
2001-01-09,200.339005,200.339005,200.339005,200.339005,200.339005,0
2001-01-10,199.304001,199.304001,199.304001,199.304001,199.304001,0
2001-01-11,199.386993,199.386993,199.386993,199.386993,199.386993,0
2001-01-12,201.298996,201.298996,201.298996,201.298996,201.298996,0
2001-01-15,201.634003,201.634003,201.634003,201.634003,201.634003,0
2001-01-16,199.505005,199.505005,199.505005,199.505005,199.505005,0
2001-01-17,203.595993,203.595993,203.595993,203.595993,203.595993,0
2001-01-18,203.848999,203.848999,203.848999,203.848999,203.848999,0
2001-01-19,204.024994,204.024994,204.024994,204.024994,204.024994,0
2001-01-22,202.326004,202.326004,202.326004,202.326004,202.326004,0
2001-01-23,203.220001,203.220001,203.220001,203.220001,203.220001,0
2001-01-24,204.981995,204.981995,204.981995,204.981995,204.981995,0
2001-01-25,203.636002,203.636002,203.636002,203.636002,203.636002,0
2001-01-26,204.380005,204.380005,204.380005,204.380005,204.380005,0
2001-01-29,203.106003,203.106003,203.106003,203.106003,203.106003,0
2001-01-30,204.445999,204.445999,204.445999,204.445999,204.445999,0
2001-01-31,206.936005,206.936005,206.936005,206.936005,206.936005,0
2001-02-01,207.800995,207.800995,207.800995,207.800995,207.800995,0
2001-02-02,208.695007,208.695007,208.695007,208.695007,208.695007,0
2001-02-05,207.548996,207.548996,207.548996,207.548996,207.548996,0
2001-02-06,209.541000,209.541000,209.541000,209.541000,209.541000,0
2001-02-07,209.136002,209.136002,209.136002,209.136002,209.136002,0
2001-02-08,210.347000,210.347000,210.347000,210.347000,210.347000,0
2001-02-09,209.233994,209.233994,209.233994,209.233994,209.233994,0
2001-02-12,206.268005,206.268005,206.268005,206.268005,206.268005,0
2001-02-13,208.649002,208.649002,208.649002,208.649002,208.649002,0
2001-02-14,206.705002,206.705002,206.705002,206.705002,206.705002,0
2001-02-15,205.919006,205.919006,205.919006,205.919006,205.919006,0
2001-02-16,205.440994,205.440994,205.440994,205.440994,205.440994,0
